Дата,Новых случаев,Выздоровели,Госпитализировано,Летальных случаев,Тестов за сутки,Заболело детей,Заболело врачей
01.12.20,12498,10023,1470,221,62327,586,646
02.12.20,13141,13882,1447,169,67626,744,579
03.12.20,14496,15372,1739,243,72678,745,614
04.12.20,15131,13383,1776,235,74880,649,681
05.12.20,13825,14724,1504,226,67533,713,629
06.12.20,11590,6048,1127,167,42096,627,493
07.12.20,8641,5123,1037,145,33502,390,284
08.12.20,10881,12860,1319,195,55070,520,512
09.12.20,12585,14554,1281,276,58271,654,682
10.12.2020,13371,13903,2993,266,67142,652,580
11.12.2020,13514,15327,2846,285,60847,638,690
12.12.2020,12811,13653,3001,243,61571,593,572
13.12.2020,9176,7563,2969,156,41489,494,313
14.12.2020,6451,5154,1895,93,25582,355,215
15.12.2020,8416,16150,1479,233,55856,412,447
16.12.2020,10622,12549,3242,264,63445,501,579
17.12.2020,12047,12939,2997,252,65561,594,535
18.12.2020,12630,12866,2904,260,68759,620,552
19.12.2020,11742,13314,2865,213,60089,547,481
20.12.2020,8325,6626,3037,116,39941,443,306
21.12.2020,6545,5106,1766,80,26839,292,236
22.12.2020,8513,14020,1318,232,46696,415,368
23.12.2020,10136,15372,2979,275,61445,537,422
24.12.2020,11490,15775,2721,223,66358,488,445
25.12.2020,11035,15337,2739,186,58874,484,388
26.12.2020,7709,5145,2888,121,31482,366,198
