Дата,Новых случаев,Выздоровели,Госпитализировано,Летальных случаев,Тестов за сутки,Заболело детей,Заболело врачей
01.01.2021,5038,2606,0,51,17930,182,131
02.01.2021,4576,6250,1306,123,14576,158,172
03.01.2021,4158,4693,1526,73,13128,170,163
04.01.2021,5334,13850,1280,202,39286,164,362
05.01.2021,6911,14960,2978,228,52968,203,406
06.01.2021,8997,11316,2567,148,54438,227,385
07.01.2021,5676,5131,2402,83,20192,166,179
08.01.2021,4846,7961,2411,80,26494,168,176
09.01.2021,5001,5292,2100,99,23245,113,164
10.01.2021,4288,4819,1372,68,16061,133,184
11.01.2021,5116,15951,1092,184,41682,131,309
12.01.2021,6409,14503,2564,195,59931,187,367
13.01.2021,7925,10192,2229,162,54265,233,345
14.01.2021,8199,10328,2152,166,49596,236,315
15.01.2021,7729,9792,2083,144,48700,245,369
16.01.2021,5990,8777,2131,116,27975,177,236
17.01.2021,3034,5236,1304,67,13247,107,87
18.01.2021,3939,15052,801,177,33400,131,238
19.01.2021,4383,14501,2011,212,45790,161,239
20.01.2021,5583,13981,1811,241,41597,173,229
21.01.2021,5348,14239,1900,163,43593,164,225
22.01.2021,4928,13138,1862,116,40144,166,261
23.01.2021,3915,5407,2079,83,23081,117,111
24.01.2021,2516,5783,1166,63,13962,95,87
25.01.2021,2779,12538,891,133,32030,95,175
26.01.2021,3776,14250,2430,145,47120,115,172
27.01.2021,5529,11946,1941,149,48736,248,236
28.01.2021,5181,11310,1916,128,44143,218,212
29.01.2021,4685,11317,1906,149,41781,200,336
30.01.2021,3177,4126,1960,79,19059,146,86
31.01.2021,2030,5131,1103,61,12825,71,65
