Дата,Новых случаев,Выздоровели,Госпитализировано,Летальных случаев,Тестов за сутки,Заболело детей,Заболело врачей
01.11.20,7959,2513,0,0,0,0,0
02.11.20,6754,2327,801,69,36587,271,255
03.11.20,8899,5100,1207,157,60836,346,401
04.11.20,9524,7536,1514,199,72442,313,408
05.11.20,9850,8378,1269,193,75598,369,514
06.11.20,9721,10762,1517,201,80082,304,468
07.11.20,10746,8685,1470,187,82327,316,519
08.11.20,9397,2637,1157,138,49720,315,326
09.11.20,8687,2277,1100,115,41114,350,321
10.11.20,10179,5514,1252,191,68962,410,445
11.11.20,10611,6802,1453,191,73285,350,493
12.11.20,11057,6235,1509,198,77149,428,564
13.11.20,11787,6155,1587,172,73398,388,555
14.11.20,12524,4962,1525,191,78179,474,496
15.11.20,10681,2633,1277,95,44505,420,391
16.11.20,9832,2753,1100,94,33486,354,360
17.11.20,11968,6786,1610,159,67127,516,565
18.11.20,12496,8096,1668,256,73064,535,529
19.11.20,13357,7400,1531,257,65402,539,673
20.11.20,14575,7845,1728,229,70752,549,613
21.11.20,14580,7989,1761,215,71949,610,590
22.11.20,12079,4604,1134,138,34397,489,375
23.11.20,10945,4143,1165,124,28374,491,447
24.11.20,12287,8298,1403,188,61567,533,570
25.11.20,13882,8420,1818,229,75396,684,615
26.11.20,15331,9617,1955,225,76911,659,606
27.11.20,16218,8843,2069,192,72789,666,655
28.11.20,16294,8897,1639,184,67348,689,631
29.11.20,12978,4243,1561,120,49180,599,408
30.11.20,9946,5771,1161,114,31901,570,360
